iter	Passed	Remaining
0	21	10689
1	38	9674
2	77	12782
3	108	13451
4	134	13290
5	206	17032
6	233	16478
7	298	18342
8	350	19119
9	374	18328
10	423	18846
11	459	18700
12	516	19344
13	547	18996
14	578	18712
15	599	18147
16	627	17839
17	676	18126
18	698	17671
19	723	17367
20	751	17140
21	815	17719
22	837	17372
23	875	17365
24	909	17282
25	942	17178
26	974	17063
27	1005	16946
28	1033	16779
29	1105	17315
30	1131	17119
31	1195	17487
32	1227	17365
33	1265	17343
34	1321	17552
35	1374	17716
36	1419	17761
37	1435	17451
38	1463	17304
39	1494	17188
40	1524	17062
41	1577	17202
42	1632	17352
43	1670	17313
44	1696	17155
45	1733	17110
46	1760	16967
47	1788	16844
48	1821	16769
49	1852	16676
50	1884	16591
51	1921	16553
52	1964	16571
53	2011	16611
54	2056	16636
55	2087	16551
56	2145	16678
57	2164	16493
58	2184	16326
59	2210	16208
60	2242	16138
61	2274	16065
62	2343	16254
63	2398	16337
64	2432	16278
65	2501	16447
66	2539	16411
67	2562	16277
68	2590	16183
69	2606	16009
70	2622	15845
71	2653	15774
72	2691	15742
73	2717	15641
74	2748	15572
75	2808	15666
76	2844	15628
77	2874	15549
78	2919	15560
79	2958	15532
80	2994	15490
81	3041	15503
82	3105	15602
83	3140	15550
84	3169	15474
85	3200	15406
86	3232	15343
87	3270	15310
88	3296	15222
89	3316	15108
90	3331	14973
91	3356	14883
92	3406	14906
93	3434	14833
94	3474	14810
95	3492	14697
96	3519	14621
97	3548	14555
98	3596	14565
99	3618	14475
100	3659	14456
101	3688	14393
102	3720	14339
103	3777	14383
104	3816	14355
105	3862	14355
106	3917	14389
107	3964	14389
108	3978	14272
109	4015	14235
110	4068	14259
111	4100	14206
112	4131	14147
113	4159	14083
114	4201	14066
115	4212	13944
116	4227	13839
117	4250	13761
118	4296	13756
119	4308	13642
120	4338	13589
121	4368	13535
122	4423	13558
123	4478	13580
124	4511	13533
125	4527	13439
126	4557	13385
127	4591	13343
128	4638	13339
129	4671	13295
130	4744	13365
131	4781	13329
132	4793	13226
133	4858	13268
134	4876	13185
135	4908	13137
136	4931	13066
137	4973	13045
138	4986	12950
139	5013	12891
140	5097	12978
141	5113	12892
142	5147	12850
143	5193	12838
144	5252	12860
145	5287	12820
146	5318	12771
147	5335	12689
148	5382	12679
149	5401	12602
150	5430	12551
151	5473	12530
152	5522	12525
153	5554	12478
154	5602	12468
155	5638	12434
156	5658	12361
157	5747	12441
158	5773	12383
159	5794	12312
160	5821	12256
161	5867	12242
162	5884	12165
163	5943	12176
164	6000	12182
165	6047	12168
166	6074	12113
167	6120	12095
168	6152	12050
169	6199	12035
170	6232	11991
171	6256	11931
172	6294	11897
173	6328	11856
174	6358	11807
175	6400	11782
176	6452	11775
177	6499	11758
178	6516	11686
179	6535	11618
180	6551	11546
181	6575	11488
182	6591	11418
183	6642	11407
184	6674	11365
185	6720	11345
186	6763	11320
187	6787	11263
188	6832	11242
189	6850	11177
190	6882	11133
191	6911	11087
192	6943	11044
193	6991	11027
194	7023	10985
195	7069	10964
196	7093	10910
197	7147	10902
198	7179	10858
199	7210	10815
200	7246	10778
201	7310	10784
202	7348	10751
203	7368	10691
204	7383	10624
205	7414	10581
206	7445	10538
207	7477	10497
208	7497	10438
209	7539	10412
210	7568	10365
211	7602	10328
212	7639	10293
213	7681	10265
214	7738	10258
215	7773	10220
216	7825	10204
217	7847	10151
218	7898	10134
219	7930	10093
220	7962	10051
221	8007	10026
222	8045	9993
223	8071	9944
224	8102	9903
225	8135	9862
226	8167	9822
227	8198	9780
228	8251	9765
229	8309	9754
230	8335	9706
231	8420	9726
232	8480	9718
233	8514	9679
234	8567	9660
235	8622	9645
236	8647	9595
237	8686	9562
238	8716	9518
239	8747	9476
240	8779	9435
241	8810	9393
242	8841	9351
243	8895	9333
244	8922	9286
245	8962	9253
246	9013	9232
247	9050	9196
248	9081	9154
249	9105	9105
250	9146	9073
251	9177	9031
252	9208	8990
253	9241	8950
254	9278	8914
255	9305	8869
256	9352	8843
257	9388	8806
258	9416	8762
259	9448	8721
260	9479	8680
261	9509	8638
262	9540	8597
263	9572	8557
264	9596	8510
265	9636	8477
266	9667	8436
267	9704	8400
268	9731	8356
269	9762	8316
270	9794	8276
271	9839	8248
272	9874	8210
273	9922	8184
274	9969	8156
275	9993	8110
276	10033	8077
277	10066	8038
278	10097	7998
279	10129	7959
280	10213	7960
281	10283	7949
282	10317	7911
283	10355	7875
284	10411	7854
285	10442	7813
286	10467	7768
287	10502	7730
288	10534	7691
289	10558	7645
290	10597	7611
291	10630	7572
292	10662	7532
293	10693	7493
294	10718	7448
295	10758	7414
296	10789	7374
297	10820	7334
298	10866	7305
299	10897	7265
300	10929	7225
301	10992	7207
302	11022	7166
303	11054	7127
304	11084	7087
305	11116	7048
306	11148	7008
307	11179	6969
308	11222	6936
309	11256	6899
